analysis-lab                       1440x1496
arrange-metrics                    1440x1058
create-package                     1440x1411
embedded-packages                  1440x900
future-dev                         1440x1079
mainboard                          1440x929
market-data                        1440x900
outsource-signal                   1440x900
package-library                    1440x1686
panel-logs                         1440x900
panel-management                   1440x1495
portfolio                          1440x1631
pre-check                          1440x900
rationale-families                 1440x1589
ready-check                        1440x947
research-data                      1440x900
results-history                    1440x900
run-results                        1440x900
strategy-details                   1440x900
trade-log                          1440x2500
trading-signal                     1440x2438
trash                              1440x900
user-manual                        1440x946
